nome_bloco,inicio,final
DESLIGA DA JUSTI�A,[-22.964242786406714 -43.22944816027677],[-22.971630964310748 -43.22578995231016]
BANDA DE IPANEMA,[-22.982940546556065 -43.19734110569889],[-22.982284743507297 -43.20473368297787]
BLOCO CARNAVAL SQUARE,[-22.90670946946486 -43.17227682171465]
ME CHAMA,[-23.00941061143005 -43.33007829089941],[-23.010353515648703 -43.31778677498223]
BANDA AMIGOS DA BARRA,[-23.00941061143005 -43.33007829089941],[-23.00987561211175 -43.31927989464248]
CHORA ME LIGA,[-22.90670946946486 -43.17227682171465]
ESTRAT�GIA,[-22.903627709541322 -43.18066414444165]
BLOCO BRASIL,[-22.960324013475518 -43.165353544366965]
PEROLA DA GUANABARA,[-22.75244162000527 -43.110371813958714]
SIMPATIA � QUASE AMOR,[-22.982667043846686 -43.19820819093312],[-22.982032851413297 -43.213209752296244]
BANDA HADDOCK,[-22.91799009656906 -43.215800393624725],[-22.91594854870009 -43.21837319102137]
BLOCO CH� DA ALICE,[-22.89538677100639 -43.1854294364943],[-22.894197184879506 -43.187355097857335]
SUVACO DO CRISTO,[-22.96159964736269 -43.216531352323315],[-22.971686511461442 -43.22765384435263]
BLOCO FOGO E PAIX�O,[-22.903627709541322 -43.18066414444165]
CORD�O DO BOITAT�,[-22.910911751219196 -43.188917705794296],[-22.905573533302597 -43.18237731375832]
BANDA DA BARRA,[-23.00842029536206 -43.33900302158107],[-23.00987561211175 -43.31927989464248]
BLOCO DA PRETA,[-22.90670946946486 -43.17227682171465]
BLOCO DAS CARMELITAS,[-22.91445366846461 -43.18042557510865],[-22.92998539454667 -43.19736540576814]
BLOCO CARNAVALESCO ROLA PREGUI�OSA TARDA MAS N�O FALHA,[-22.97971191430087 -43.20708016706533],[-22.981365642849386 -43.203260559104976]
BLOCO AMIGOS DA ON�A,[-22.934035962079626 -43.171061944402176]
CORD�O DA BOLA PRETA,[-22.90670946946486 -43.17227682171465]
BLOCO CARROSSEL DE EMO��ES,[-23.008645793193992 -43.32868752043067],[-23.0107168212747 -43.31993729770521]
ESCANGALHA OFICINA DE CARNAVAL,[-22.964242786406714 -43.22944816027677],[-22.971630964310748 -43.22578995231016]
PRIMEIRO AMOR,[-22.997781353620404 -43.26494836704104],[-22.997474557730218 -43.26496905227604]
EMPOLGA �S 9,[-22.98353933487243 -43.190094105699245],[-22.972017914938355 -43.18995507503297]
BARBAS,[-22.95519353848626 -43.1851865136935],[-22.95450303124692 -43.178946736417565]
BANGALAFUMENGA,[-22.91544459072825 -43.17357040578836]
BLOCO AREIA,[-22.986275705877595 -43.225744882971455],[-22.98551718711644 -43.21867071365387]
BLOCO BUDA DA BARRA,[-23.00842029536206 -43.33900302158107],[-23.007698898839806 -43.33254695226333]
TOCO-XONA,[-22.939023453868614 -43.16987604439575]
� TUDO OU NADA?!,[-22.954358629733036 -43.197034883013814],[-22.952045040278815 -43.19663028301696]
B.C.VERMELHO & BRANCO DA Z-10,[-22.82207582578982 -43.17694234454855],[-22.821080458574713 -43.17709990591183]
BLOCO TOCA RAUUUL,[-22.905099156112357 -43.18289229784303]
QUE PENA AMOR,[-22.90422634203697 -43.17639343648343]
BLOCO CORRE ATR�S,[-22.986275705877595 -43.225744882971455],[-22.98551718711644 -43.21867071365387]
BLOCO DINOSSAUROS NACIONAIS,[-22.903627709541322 -43.18066414444165]
BLOCO DAS DIVAS,[-23.010305514521654 -43.382027044301424],[-23.021213160619915 -43.44840659088303]
BLOCO DO SARGENTO PIMENTA,[-22.91544459072825 -43.17357040578836]
BLOCO A ROCHA DA G�VEA,[-22.971630964310748 -43.22578995231016],[-22.977075748963653 -43.2300306523036]
SE ME DER EU COMO,[-22.918440344752828 -43.215795313741545],[-22.914334857632486 -43.21261694442709]
BLOCO BATUKE DE BATOM,[-22.819589632749366 -43.17422514455211],[-22.823968110847314 -43.16954517522645]
CLUBE DO SAMBA,[-22.971670851969876 -43.186106775034055],[-22.97851634461065 -43.189676521620285]
GREMIO RECREATIVO BLOCO CARNAVALESCO EMPURRA QUE PEGA DO LEBLON,[-22.98675235516079 -43.22703562160884]
VAGALUME O VERDE,[-22.964242786406714 -43.22944816027677],[-22.971630964310748 -43.22578995231016]
ASSOCIA��O CARNAVALESCA BANDA DAS QUENGAS,[-22.911092066898686 -43.1886057671546]
BANDA DA NEGA,[-23.022454783981274 -43.45642011360443]
CANDY BLOCO,[-22.901680730013037 -43.170176560359074]
CACHORRO CANSADO,[-22.92991064737455 -43.17730837508724],[-22.930946762399692 -43.175966244405195]
FERVO DA LUD,[-22.90670946946486 -43.17227682171465]
ORQUESTRA VOADORA,[-22.91978650692143 -43.17412833646282,[-22.91252108131039 -43.171576183069256]
PLANTA NA MENTE,[-22.91172471677844 -43.17950937511255],[-22.905573533302597 -43.18289229784303]
BLOCO DA ANITTA,[-22.90619184085342 -43.1732506137575]
BLOCO QUIZOMBA,[-22.9110500006967 -43.180455083069106],[-22.910676213286177 -43.18163556715578]
MULHERES DE CHICO,[-22.966748855296167 -43.18018188980499]
MONOBLOCO,[-22.907183841021585 -43.17287763648016]
BLOCO FILHOS DA P!,[-22.98572858908828 -43.221569244334354],[-22.983407050922544 -43.21676041365654]
