id_bloco;nome_bloco;percurso;lat_inicio;lat_final;long_inicio;long_final;publico
BL_342_381.1;GREMIO RECREATIVO BLOCO CARNAVALESCO EMPURRA QUE PEGA DO LEBLON;PRAÇA ZOZIMO BARROSO DO AMARAL;;;;;15000
BL_225_246.2;VAGALUME O VERDE;RUA PACHECO LEÃO - PÇA SANTOS DUMONT;;;;;80000
BL_261_287.1;ASSOCIAÇÃO CARNAVALESCA BANDA DAS QUENGAS;RUA WASHINGTON LUÍS;;;;;22000
BL_453_501.1;BANDA DA NEGA;AV. LUCIO COSTA, 16.350;;;;;15000
BL_80_707.1;CANDY BLOCO;PRAÇA MAL. ÂNCORA;;;;;10000
BL_236_259.2;CACHORRO CANSADO;PRAÇA JOSÉ DE ALENCAR, RUA MARQUÊS DE PARANÁ, RUA SENADOR VERGUEIRO, R. BARÃO DO FLAMENGO;;;;;15000
BL_268_294.1;FERVO DA LUD;AV. PRES. ANTÔNIO CARLOS;;;;;1000000
BL_407_454.1;ORQUESTRA VOADORA;PRAÇA LUIZ DE CAMÕES - AV. INFANTE DOM HENRIQUE, 85;;;;;330000
BL_641_730.1;PLANTA NA MENTE;PRAÇA CARDEAL CÂMARA, RUA DOS ARCOS, RUA DO LAVRADIO, RUA DO SENADO, RUA PEDRO I, RUA VISCONDE DO RIO BRANCO, PRAÇA TIRADENTES;;;;;20000
BL_490_539.1;BLOCO DA ANITTA;AV. PRES. ANTÔNIO CARLOS, 375;;;;;370000
BL_56_59.2;BLOCO QUIZOMBA;R. RIACHUELO, 15 - RUA TEIXEIRA DE FREITAS - AV. AUGUSTO SEVERO - R. DOS ARCOS,;;;;;60000
BL_559_624.1;MULHERES DE CHICO;AV ATLÂNTICA, 10;;;;;15000
BL_404_451.1;MONOBLOCO;AV. PRES. ANTÔNIO CARLOS;;;;;145000
BL_419_466.1;BLOCO FILHOS DA P!;AV. DELFIM MOREIRA - RUA JOÃO LÍRA - R. ALM. PEREIRA GUIMARÃES;;;;;12000
;;;;;;;
;;;;;;;
;;; ;;;;
